seccion,segmento,Estacion
11.0,209.0,Prado
11.0,211.0,Prado
11.0,214.0,Prado
11.0,229.0,Prado
11.0,230.0,Prado
11.0,236.0,Prado
11.0,237.0,Prado
11.0,238.0,Prado
11.0,263.0,Carrasco
11.0,268.0,Carrasco
11.0,286.0,Prado
11.0,287.0,Prado
11.0,289.0,Prado
11.0,296.0,Carrasco
11.0,298.0,Carrasco
12.0,1.0,Prado
12.0,2.0,Prado
12.0,3.0,Prado
12.0,5.0,Prado
12.0,8.0,Prado
12.0,9.0,Prado
12.0,10.0,Prado
12.0,11.0,Prado
12.0,13.0,Prado
12.0,14.0,Prado
12.0,106.0,Prado
12.0,15.0,Prado
12.0,18.0,Prado
12.0,21.0,Prado
12.0,22.0,Prado
12.0,23.0,Prado
12.0,24.0,Prado
12.0,26.0,Prado
12.0,31.0,Prado
12.0,33.0,Prado
12.0,34.0,Prado
12.0,104.0,Prado
12.0,107.0,Prado
12.0,112.0,Prado
12.0,116.0,Prado
12.0,117.0,Prado
12.0,119.0,Prado
12.0,120.0,Prado
12.0,125.0,Prado
12.0,127.0,Prado
12.0,128.0,Prado
12.0,129.0,Prado
12.0,130.0,Prado
12.0,132.0,Prado
12.0,135.0,Prado
12.0,136.0,Prado
12.0,204.0,Prado
15.0,108.0,Prado
12.0,206.0,Prado
12.0,207.0,Prado
12.0,212.0,Prado
12.0,216.0,Prado
12.0,217.0,Prado
12.0,219.0,Prado
12.0,220.0,Prado
12.0,225.0,Prado
12.0,227.0,Prado
12.0,228.0,Prado
12.0,229.0,Prado
12.0,230.0,Prado
12.0,232.0,Prado
12.0,235.0,Prado
15.0,109.0,Prado
12.0,236.0,Prado
13.0,1.0,Prado
13.0,14.0,Prado
13.0,15.0,Prado
13.0,16.0,Prado
13.0,17.0,Prado
13.0,18.0,Prado
13.0,2.0,Prado
13.0,3.0,Prado
13.0,4.0,Prado
13.0,5.0,Prado
13.0,6.0,Prado
13.0,7.0,Prado
13.0,8.0,Prado
13.0,9.0,Prado
13.0,10.0,Prado
13.0,11.0,Prado
13.0,12.0,Prado
13.0,19.0,Prado
13.0,20.0,Prado
13.0,21.0,Prado
13.0,22.0,Prado
13.0,23.0,Prado
13.0,24.0,Prado
13.0,25.0,Prado
13.0,26.0,Prado
13.0,27.0,Prado
13.0,28.0,Prado
13.0,29.0,Prado
13.0,49.0,Prado
13.0,30.0,Prado
13.0,31.0,Prado
13.0,33.0,Prado
13.0,234.0,Prado
13.0,37.0,Melilla
13.0,38.0,Melilla
13.0,41.0,Melilla
13.0,50.0,Prado
13.0,51.0,Prado
13.0,113.0,Prado
13.0,44.0,Melilla
13.0,45.0,Melilla
13.0,132.0,Prado
14.0,108.0,Prado
13.0,46.0,Melilla
13.0,47.0,Melilla
13.0,48.0,Prado
13.0,232.0,Prado
13.0,134.0,Prado
13.0,135.0,Prado
13.0,136.0,Prado
13.0,139.0,Melilla
13.0,140.0,Prado
13.0,152.0,Prado
13.0,213.0,Prado
15.0,13.0,Prado
13.0,235.0,Prado
13.0,236.0,Prado
18.0,219.0,Prado
13.0,239.0,Melilla
13.0,240.0,Prado
13.0,332.0,Prado
13.0,336.0,Prado
13.0,342.0,Prado
13.0,352.0,Prado
13.0,432.0,Prado
13.0,442.0,Melilla
13.0,532.0,Prado
13.0,242.0,Prado
13.0,252.0,Prado
14.0,1.0,Prado
14.0,2.0,Prado
14.0,3.0,Prado
14.0,4.0,Prado
14.0,6.0,Prado
14.0,9.0,Prado
14.0,10.0,Prado
14.0,107.0,Prado
14.0,15.0,Prado
14.0,16.0,Prado
14.0,17.0,Prado
14.0,18.0,Prado
14.0,23.0,Prado
14.0,24.0,Prado
14.0,26.0,Prado
14.0,105.0,Prado
14.0,111.0,Prado
14.0,112.0,Prado
14.0,113.0,Prado
14.0,114.0,Prado
14.0,119.0,Prado
14.0,120.0,Prado
14.0,121.0,Prado
14.0,122.0,Prado
14.0,125.0,Prado
14.0,205.0,Prado
14.0,207.0,Prado
14.0,208.0,Prado
14.0,211.0,Prado
14.0,212.0,Prado
14.0,213.0,Prado
14.0,214.0,Prado
14.0,219.0,Prado
14.0,220.0,Prado
14.0,221.0,Prado
14.0,222.0,Prado
14.0,225.0,Prado
15.0,1.0,Prado
15.0,2.0,Prado
15.0,114.0,Prado
15.0,203.0,Prado
15.0,204.0,Prado
15.0,205.0,Prado
15.0,206.0,Prado
15.0,207.0,Prado
15.0,208.0,Prado
15.0,209.0,Prado
15.0,210.0,Prado
15.0,211.0,Prado
15.0,212.0,Prado
15.0,214.0,Prado
15.0,305.0,Prado
20.0,221.0,Prado
15.0,306.0,Prado
15.0,312.0,Prado
16.0,1.0,Melilla
16.0,2.0,Melilla
16.0,3.0,Melilla
16.0,4.0,Melilla
16.0,5.0,Prado
16.0,6.0,Prado
16.0,7.0,Prado
16.0,8.0,Prado
16.0,9.0,Prado
16.0,11.0,Prado
16.0,12.0,Prado
16.0,14.0,Prado
16.0,15.0,Prado
16.0,16.0,Prado
16.0,17.0,Prado
16.0,18.0,Prado
16.0,19.0,Prado
16.0,20.0,Prado
16.0,32.0,Melilla
16.0,21.0,Prado
16.0,22.0,Prado
16.0,23.0,Prado
16.0,28.0,Melilla
16.0,29.0,Melilla
16.0,30.0,Melilla
17.0,17.0,Prado
16.0,33.0,Melilla
16.0,34.0,Melilla
16.0,35.0,Melilla
16.0,37.0,Melilla
16.0,38.0,Melilla
16.0,40.0,Melilla
16.0,41.0,Melilla
16.0,42.0,Melilla
18.0,121.0,Prado
16.0,43.0,Melilla
16.0,44.0,Melilla
16.0,45.0,Melilla
16.0,110.0,Prado
16.0,131.0,Melilla
16.0,136.0,Melilla
16.0,139.0,Melilla
16.0,210.0,Prado
16.0,213.0,Prado
18.0,122.0,Prado
16.0,113.0,Prado
16.0,125.0,Melilla
16.0,126.0,Melilla
16.0,127.0,Melilla
16.0,225.0,Melilla
17.0,111.0,Prado
16.0,226.0,Melilla
16.0,227.0,Melilla
16.0,231.0,Melilla
16.0,236.0,Melilla
16.0,239.0,Melilla
16.0,339.0,Melilla
17.0,1.0,Prado
17.0,5.0,Prado
17.0,6.0,Prado
17.0,10.0,Prado
17.0,12.0,Prado
17.0,20.0,Prado
17.0,21.0,Prado
17.0,26.0,Prado
17.0,27.0,Prado
17.0,31.0,Prado
17.0,32.0,Prado
17.0,35.0,Melilla
17.0,36.0,Melilla
17.0,37.0,Melilla
17.0,42.0,Prado
17.0,43.0,Prado
17.0,44.0,Prado
17.0,102.0,Prado
17.0,103.0,Prado
17.0,104.0,Prado
17.0,107.0,Prado
17.0,108.0,Prado
17.0,109.0,Prado
17.0,113.0,Prado
17.0,114.0,Prado
17.0,115.0,Prado
17.0,116.0,Prado
17.0,118.0,Prado
17.0,119.0,Prado
17.0,122.0,Prado
17.0,123.0,Prado
17.0,124.0,Prado
17.0,125.0,Prado
17.0,204.0,Prado
17.0,128.0,Prado
17.0,129.0,Prado
17.0,130.0,Prado
17.0,207.0,Prado
18.0,123.0,Prado
17.0,133.0,Prado
17.0,208.0,Prado
17.0,209.0,Prado
17.0,211.0,Prado
17.0,213.0,Prado
17.0,214.0,Prado
17.0,215.0,Prado
17.0,134.0,Prado
17.0,216.0,Prado
17.0,218.0,Prado
17.0,219.0,Prado
18.0,124.0,Prado
