seccion,segmento,Año,Mes,TMaxPromedio,TMinPromedio,TMaxRegistrada,TMinRegistrada,TMaxDesviacion,TMinDesviacion
1.0,104.0,2013,1,28.0,18.8,34.4,11.9,3.6,2.7
1.0,104.0,2013,2,26.7,18.1,33.5,11.9,3.8,3.1
1.0,104.0,2013,3,23.2,14.7,30.4,10.0,3.5,3.3
1.0,104.0,2013,4,22.5,13.9,26.7,7.7,3.0,3.1
1.0,104.0,2013,5,18.1,10.8,24.6,4.3,3.3,2.9
1.0,104.0,2013,6,16.0,7.4,23.8,0.1,3.6,3.4
1.0,104.0,2013,7,14.8,7.2,23.2,2.0,4.6,3.6
1.0,104.0,2013,8,15.5,6.8,25.9,0.6,5.6,3.5
1.0,104.0,2013,9,17.5,10.3,31.9,5.2,5.8,4.3
1.0,104.0,2013,10,21.0,12.0,27.6,5.5,4.0,3.0
1.0,104.0,2013,11,23.6,15.5,32.8,9.6,4.3,2.4
1.0,104.0,2013,12,30.0,19.3,38.1,12.0,5.0,3.7
1.0,104.0,2014,1,28.1,20.1,36.6,13.5,4.6,2.9
1.0,104.0,2014,2,26.0,19.2,35.4,14.0,3.7,1.9
1.0,104.0,2014,3,24.3,15.9,30.2,8.3,3.0,2.7
1.0,104.0,2014,4,21.8,13.4,29.0,6.4,3.1,4.3
1.0,104.0,2014,5,17.8,11.1,22.8,2.5,2.7,3.5
1.0,104.0,2014,6,15.9,7.8,24.1,3.0,2.8,3.3
1.0,104.0,2014,7,16.0,8.7,23.2,0.2,3.7,3.6
1.0,104.0,2014,8,18.6,9.5,29.8,4.3,5.3,4.2
1.0,104.0,2014,9,19.6,11.6,24.3,5.6,2.5,2.8
1.0,104.0,2014,10,23.1,14.9,33.0,8.5,4.6,2.9
1.0,104.0,2014,11,24.3,15.0,32.9,9.5,4.6,2.8
1.0,104.0,2014,12,26.5,18.0,33.6,11.5,4.2,2.8
1.0,104.0,2015,1,26.9,18.7,34.4,13.6,3.4,3.0
1.0,104.0,2015,2,27.5,19.3,32.6,12.3,3.0,2.1
1.0,104.0,2015,3,26.2,17.4,32.0,10.3,4.2,2.5
1.0,104.0,2015,4,24.4,14.8,30.4,9.1,3.1,3.0
1.0,104.0,2015,5,20.9,12.0,28.0,5.7,4.1,3.9
