secc,segm,pesoano,estred13,c1%Casas,c2%Ladrillo,c3%Hormigon,c4%PisoConTerminacion,c5_4,c5_5,c5_7,c5_8,c5_9,d8_4,d9,d10,d14,d20%Electrica,d21_1,d21_2,d21_3,d21_4_1,d21_5_1,d21_9,d21_10,d21_11,d21_12,d21_13,d21_15_2,d21_15_4,d21_16,d23,d24,ht11,YHOG,pobre06,d21_14_1,d260%Electrica
9.0,3.0,388.0,Montevideo Medio Bajo,1.0,0.9252577319587629,0.35309278350515466,0.8556701030927835,0.2963917525773196,0.14948453608247422,0.0,0.23969072164948454,0.23969072164948454,0.0,3.1752577319587627,1.940721649484536,1.157216494845361,0.0,0.7809278350515464,0.2190721649484536,1.0,1.2268041237113403,0.4845360824742268,0.48195876288659795,0.7164948453608248,0.0,0.08762886597938144,0.48711340206185566,0.31443298969072164,0.6469072164948454,0.5,2.3247422680412373,0.6365979381443299,46838.84884618234,2310.7474226804125,0.08247422680412371,0.4175257731958763,0.13
9.0,5.0,642.0,Montevideo Medio Bajo,0.49221183800623053,1.0,0.8566978193146417,1.0,0.03582554517133956,0.0,0.0,0.07476635514018691,0.0,0.0,3.722741433021807,2.1666666666666665,1.2087227414330217,0.05,1.0,0.0,1.0,0.9906542056074766,0.6915887850467289,0.6105919003115264,0.9236760124610592,0.14330218068535824,0.04672897196261682,0.6510903426791277,0.08255451713395638,1.102803738317757,0.6651090342679128,2.026479750778816,0.45794392523364486,49761.07438213915,2921.877985462098,0.0,0.37850467289719625,0.21
9.0,8.0,269.0,Montevideo Medio,0.8104089219330854,1.0,0.895910780669145,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8141263940520447,1.9851301115241635,1.0892193308550187,0.07,0.9107806691449815,0.0,1.0,1.3828996282527881,0.8364312267657993,0.6096654275092936,1.0,0.21561338289962825,0.0,0.6877323420074349,0.08921933085501858,1.412639405204461,0.9107806691449815,2.684014869888476,0.44609665427509293,85810.22329615861,2472.8934324659235,0.0,0.5427509293680297,0.0
9.0,15.0,387.0,Montevideo Medio,0.5064599483204134,1.0,0.5710594315245479,0.8501291989664083,0.15503875968992248,0.14987080103359174,0.0,0.13953488372093023,0.07493540051679587,0.0,3.2325581395348837,2.0361757105943155,1.0,0.07,0.8449612403100775,0.08010335917312661,0.9250645994832042,1.1188630490956073,1.082687338501292,0.6330749354005168,0.8604651162790697,0.0,0.0,0.8501291989664083,0.6304909560723514,0.8527131782945736,0.772609819121447,2.852713178294574,0.7157622739018088,57166.79927914071,5954.279500430664,0.14987080103359174,0.5813953488372093,0.45
9.0,18.0,381.0,Montevideo Medio Bajo,0.5013123359580053,1.0,0.9238845144356955,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.477690288713911,2.1706036745406823,1.083989501312336,0.0,1.0,0.0,1.0,1.0892388451443569,0.89501312335958,0.5643044619422573,0.884514435695538,0.15485564304461943,0.08398950131233596,0.7979002624671916,0.07874015748031496,1.20997375328084,0.8293963254593176,2.1968503937007875,0.4041994750656168,58205.24846894138,2406.5389326334207,0.0,0.4671916010498688,0.32
9.0,21.0,247.0,Montevideo Medio,0.46153846153846156,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1700404858299596,1.5303643724696356,1.194331983805668,0.09,0.9190283400809717,0.08097165991902834,1.0,1.1862348178137652,0.7449392712550608,0.5141700404858299,0.8259109311740891,0.19838056680161945,0.0,0.8299595141700404,0.19433198380566802,0.8421052631578947,0.6396761133603239,2.048582995951417,0.3157894736842105,54016.306911948646,2284.91363022942,0.09716599190283401,0.5182186234817814,0.29
9.0,28.0,271.0,Montevideo Medio Alto,1.0,1.0,0.6088560885608856,1.0,0.21033210332103322,0.0,0.12177121771217712,0.22509225092250923,0.0,0.0,3.4686346863468636,1.9040590405904059,1.1070110701107012,0.11,0.8892988929889298,0.0,1.0,1.5793357933579335,0.8413284132841329,0.7232472324723247,0.9077490774907749,0.1070110701107011,0.0,0.7896678966789668,0.2066420664206642,0.8191881918819188,0.7084870848708487,2.5940959409594098,0.21033210332103322,83639.30996309963,2881.0959409594097,0.0,0.6088560885608856,0.39
9.0,29.0,972.0,Montevideo Medio Bajo,0.9104938271604939,0.8353909465020576,0.5257201646090535,0.9146090534979424,0.1800411522633745,0.10905349794238683,0.059670781893004114,0.05246913580246913,0.05246913580246913,0.0,3.409465020576132,1.7448559670781894,1.0493827160493827,0.0,0.911522633744856,0.05555555555555555,1.0,1.2664609053497942,0.49588477366255146,0.588477366255144,0.7952674897119342,0.08641975308641975,0.0257201646090535,0.6059670781893004,0.25617283950617287,0.8652263374485597,0.5370370370370371,2.0534979423868314,0.51440329218107,52363.19412096787,3167.1992455418385,0.059670781893004114,0.2191358024691358,0.2
9.0,30.0,375.0,Montevideo Medio,1.0,1.0,0.7733333333333333,0.928,0.08,0.14133333333333334,0.0,0.21866666666666668,0.064,0.0,3.6026666666666665,1.7733333333333334,1.072,0.0,0.9173333333333333,0.0,1.0,1.3813333333333333,0.5946666666666667,0.49866666666666665,0.8453333333333334,0.06133333333333333,0.0,0.6213333333333333,0.14666666666666667,0.6533333333333333,0.672,2.408,0.4053333333333333,46909.32,3049.56,0.08266666666666667,0.48,0.12
9.0,31.0,263.0,Montevideo Medio,1.0,1.0,0.7908745247148289,1.0,0.08365019011406843,0.09125475285171103,0.0,0.0,0.0,0.0,3.5513307984790874,2.307984790874525,1.0,0.0,0.8973384030418251,0.0,1.0,0.714828897338403,1.11787072243346,0.4790874524714829,1.0,0.0,0.0,0.7262357414448669,0.623574144486692,1.2053231939163498,0.7262357414448669,2.5247148288973382,0.5741444866920152,54754.564289573114,3478.144486692015,0.10266159695817491,0.29277566539923955,0.43
