secc,segm,anio,mes,cantidadPredios,potencia_contratada_punta,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
1.0,205.0,2018.0,8.0,603.0,0.0,0.7433774834437086,0.18211920529801323,0.016556291390728478,135238.339
1.0,205.0,2018.0,9.0,603.0,0.0,0.7479270315091211,0.18076285240464346,0.014925373134328358,134504.45299999998
1.0,205.0,2018.0,10.0,601.0,0.0,0.7454242928452579,0.17970049916805325,0.018302828618968387,111749.92199999999
1.0,205.0,2018.0,11.0,600.0,0.0,0.7520798668885191,0.17470881863560733,0.018302828618968387,109548.382
1.0,205.0,2018.0,12.0,597.0,0.0,0.7445742904841403,0.17863105175292154,0.02003338898163606,104433.39
2.0,1.0,2018.0,1.0,309.0,0.0,0.7184466019417476,0.2524271844660194,0.02912621359223301,53404.982
2.0,1.0,2018.0,2.0,304.0,0.0,0.7114754098360656,0.25901639344262295,0.029508196721311476,52691.248999999996
2.0,1.0,2018.0,3.0,299.0,0.0,0.6963696369636964,0.2706270627062706,0.0297029702970297,49632.54
2.0,1.0,2018.0,4.0,310.0,0.0,0.7009646302250804,0.27009646302250806,0.028938906752411574,53736.796
2.0,1.0,2018.0,5.0,315.0,0.0,0.6952380952380952,0.2761904761904762,0.02857142857142857,53465.721999999994
2.0,1.0,2018.0,6.0,309.0,0.0,0.6838709677419355,0.2903225806451613,0.025806451612903226,60687.9
2.0,1.0,2018.0,7.0,319.0,0.0,0.690625,0.28125,0.028125,67455.36
2.0,1.0,2018.0,8.0,316.0,0.0,0.6761006289308176,0.29559748427672955,0.02830188679245283,72743.928
2.0,1.0,2018.0,9.0,310.0,0.0,0.6698717948717948,0.30128205128205127,0.028846153846153848,71907.635
2.0,1.0,2018.0,10.0,311.0,0.0,0.6720257234726688,0.2990353697749196,0.028938906752411574,53944.422999999995
2.0,1.0,2018.0,11.0,315.0,0.0,0.6835443037974683,0.2911392405063291,0.02531645569620253,58595.381
2.0,1.0,2018.0,12.0,310.0,0.0,0.6806451612903226,0.2967741935483871,0.02258064516129032,51107.812000000005
2.0,3.0,2018.0,1.0,380.0,0.0,0.7244094488188977,0.1968503937007874,0.023622047244094488,81968.29800000001
2.0,3.0,2018.0,2.0,396.0,0.0,0.7222222222222222,0.19696969696969696,0.025252525252525252,79142.23
2.0,3.0,2018.0,3.0,383.0,0.0,0.7220779220779221,0.2025974025974026,0.023376623376623377,68226.70000000001
2.0,3.0,2018.0,4.0,389.0,0.0,0.7161125319693095,0.2071611253196931,0.02557544757033248,70761.4
2.0,3.0,2018.0,5.0,398.0,0.0,0.7211055276381909,0.20351758793969849,0.02512562814070352,78391.0
2.0,3.0,2018.0,6.0,398.0,0.0,0.7245657568238213,0.20347394540942929,0.022332506203473945,95049.68000000001
2.0,3.0,2018.0,7.0,397.0,0.0,0.7167919799498746,0.21303258145363407,0.02506265664160401,101128.152
2.0,3.0,2018.0,8.0,397.0,0.0,0.7117794486215538,0.20802005012531327,0.02756892230576441,95983.0
2.0,3.0,2018.0,9.0,401.0,0.0,0.7111111111111111,0.2123456790123457,0.027160493827160494,88809.1
2.0,3.0,2018.0,10.0,404.0,0.0,0.7083333333333334,0.2181372549019608,0.024509803921568627,82992.28
2.0,3.0,2018.0,11.0,399.0,0.0,0.713216957605985,0.2119700748129676,0.02743142144638404,74785.888
2.0,3.0,2018.0,12.0,407.0,0.0,0.7034313725490197,0.2181372549019608,0.029411764705882353,70755.6
2.0,4.0,2018.0,1.0,195.0,0.0,0.6102564102564103,0.12307692307692308,0.041025641025641026,44321.16
2.0,4.0,2018.0,2.0,204.0,0.0,0.6029411764705882,0.11764705882352941,0.0392156862745098,43987.768
2.0,4.0,2018.0,3.0,190.0,0.0,0.6052631578947368,0.13157894736842105,0.04736842105263158,36623.976
2.0,4.0,2018.0,4.0,195.0,0.0,0.6142131979695431,0.12690355329949238,0.04568527918781726,35106.501000000004
2.0,4.0,2018.0,5.0,198.0,0.0,0.5959595959595959,0.13131313131313133,0.045454545454545456,34413.859
2.0,4.0,2018.0,6.0,205.0,0.0,0.6,0.12682926829268293,0.04390243902439024,43175.824
2.0,4.0,2018.0,7.0,199.0,0.0,0.605,0.14,0.045,44467.505999999994
2.0,4.0,2018.0,8.0,195.0,0.0,0.5989847715736041,0.14720812182741116,0.04568527918781726,42377.011
2.0,4.0,2018.0,9.0,201.0,0.0,0.582089552238806,0.14925373134328357,0.04477611940298507,37817.956999999995
2.0,4.0,2018.0,10.0,197.0,0.0,0.5634517766497462,0.14720812182741116,0.04568527918781726,36657.473
2.0,4.0,2018.0,11.0,195.0,0.0,0.5714285714285714,0.15306122448979592,0.04591836734693878,33216.0
2.0,4.0,2018.0,12.0,197.0,0.0,0.5786802030456852,0.14720812182741116,0.04568527918781726,33082.5
2.0,102.0,2018.0,1.0,314.0,0.0,0.6847133757961783,0.24203821656050956,0.012738853503184714,65005.297
2.0,102.0,2018.0,2.0,315.0,0.0,0.6993670886075949,0.24367088607594936,0.012658227848101266,60589.001000000004
2.0,102.0,2018.0,3.0,325.0,0.0,0.696319018404908,0.24233128834355827,0.012269938650306749,60462.435
2.0,102.0,2018.0,4.0,320.0,0.0,0.6801242236024845,0.2484472049689441,0.012422360248447204,57922.887
2.0,102.0,2018.0,5.0,321.0,0.0,0.6791277258566978,0.24299065420560748,0.01557632398753894,63165.5
2.0,102.0,2018.0,6.0,322.0,0.0,0.6645962732919255,0.2577639751552795,0.015527950310559006,68669.58
2.0,102.0,2018.0,7.0,325.0,0.0,0.6676829268292683,0.25,0.01524390243902439,78508.69200000001
2.0,102.0,2018.0,8.0,326.0,0.0,0.6656441717791411,0.2607361963190184,0.012269938650306749,80567.028
2.0,102.0,2018.0,9.0,329.0,0.0,0.668693009118541,0.25835866261398177,0.0121580547112462,75326.7
2.0,102.0,2018.0,10.0,327.0,0.0,0.6747720364741642,0.2553191489361702,0.015197568389057751,57350.1
2.0,102.0,2018.0,11.0,332.0,0.0,0.6596385542168675,0.25903614457831325,0.015060240963855422,65731.35
2.0,102.0,2018.0,12.0,334.0,0.0,0.6567164179104478,0.25671641791044775,0.020895522388059702,56459.85
2.0,202.0,2018.0,1.0,392.0,0.0,0.6760204081632653,0.2576530612244898,0.03571428571428571,72716.661
2.0,202.0,2018.0,2.0,391.0,0.0,0.6776649746192893,0.2563451776649746,0.03299492385786802,71489.984
2.0,202.0,2018.0,3.0,395.0,0.0,0.6675062972292192,0.2594458438287154,0.037783375314861464,64673.609000000004
2.0,202.0,2018.0,4.0,395.0,0.0,0.6675062972292192,0.2594458438287154,0.037783375314861464,68582.342
2.0,202.0,2018.0,5.0,393.0,0.0,0.6658227848101266,0.2582278481012658,0.04050632911392405,72488.245
2.0,202.0,2018.0,6.0,389.0,0.0,0.6590330788804071,0.2697201017811705,0.03816793893129771,83696.231
2.0,202.0,2018.0,7.0,394.0,0.0,0.6573604060913706,0.26903553299492383,0.03807106598984772,88332.836
2.0,202.0,2018.0,8.0,392.0,0.0,0.649746192893401,0.2766497461928934,0.04060913705583756,87153.571
2.0,202.0,2018.0,9.0,401.0,0.0,0.6467661691542289,0.2736318407960199,0.03980099502487562,90660.05500000001
2.0,202.0,2018.0,10.0,402.0,0.0,0.6386138613861386,0.27722772277227725,0.04455445544554455,68903.599
2.0,202.0,2018.0,11.0,408.0,0.0,0.6356968215158925,0.28117359413202936,0.04156479217603912,78630.74799999999
2.0,202.0,2018.0,12.0,405.0,0.0,0.6231527093596059,0.29064039408866993,0.04433497536945813,64377.873999999996
3.0,3.0,2018.0,1.0,462.0,0.0,0.6868250539956804,0.16198704103671707,0.017278617710583154,92760.117
3.0,3.0,2018.0,2.0,476.0,0.0,0.6916666666666667,0.16041666666666668,0.016666666666666666,91326.45999999999
3.0,3.0,2018.0,3.0,459.0,0.0,0.6941431670281996,0.16052060737527116,0.01735357917570499,74434.263
3.0,3.0,2018.0,4.0,467.0,0.0,0.7036247334754797,0.15991471215351813,0.017057569296375266,80395.57699999999
3.0,3.0,2018.0,5.0,471.0,0.0,0.7052631578947368,0.16,0.016842105263157894,83057.79999999999
3.0,3.0,2018.0,6.0,476.0,0.0,0.6951983298538622,0.16075156576200417,0.016701461377870562,104224.1
