secc,segm,anio,mes,cantidadPredios,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
1.0,3.0,2017.0,2.0,433.0,0.7367205542725174,0.13163972286374134,0.03002309468822171,84976.0
1.0,3.0,2017.0,3.0,491.0,0.7291242362525459,0.13034623217922606,0.026476578411405296,107778.0
1.0,3.0,2017.0,4.0,475.0,0.7394957983193278,0.13445378151260504,0.0273109243697479,84539.0
1.0,3.0,2017.0,5.0,488.0,0.7233606557377049,0.1290983606557377,0.030737704918032786,101907.0
1.0,3.0,2017.0,6.0,501.0,0.7225548902195609,0.1377245508982036,0.031936127744510975,115961.0
1.0,3.0,2017.0,7.0,517.0,0.7253384912959381,0.13926499032882012,0.03481624758220503,118580.0
1.0,3.0,2017.0,8.0,528.0,0.7253787878787878,0.14015151515151514,0.03598484848484849,124387.0
1.0,3.0,2017.0,9.0,526.0,0.714828897338403,0.14068441064638784,0.03612167300380228,103242.0
1.0,3.0,2017.0,10.0,520.0,0.7076923076923077,0.14807692307692308,0.03653846153846154,97476.0
1.0,3.0,2017.0,11.0,536.0,0.707089552238806,0.15111940298507462,0.033582089552238806,105096.0
1.0,3.0,2017.0,12.0,521.0,0.7068965517241379,0.15517241379310345,0.032567049808429116,94925.0
1.0,104.0,2017.0,1.0,378.0,0.753968253968254,0.18783068783068782,0.026455026455026454,70860.0
1.0,104.0,2017.0,2.0,376.0,0.7440633245382586,0.19788918205804748,0.026385224274406333,68859.0
1.0,104.0,2017.0,3.0,370.0,0.7378378378378379,0.20270270270270271,0.02702702702702703,76415.0
1.0,104.0,2017.0,4.0,369.0,0.7317073170731707,0.20596205962059622,0.02710027100271003,67218.0
1.0,104.0,2017.0,5.0,377.0,0.7427055702917772,0.20159151193633953,0.026525198938992044,64384.0
1.0,104.0,2017.0,6.0,389.0,0.7377892030848329,0.19794344473007713,0.02570694087403599,83747.0
1.0,104.0,2017.0,7.0,390.0,0.735897435897436,0.2,0.02564102564102564,85606.0
1.0,104.0,2017.0,8.0,393.0,0.7379134860050891,0.19592875318066158,0.02544529262086514,90639.0
1.0,104.0,2017.0,9.0,395.0,0.7367088607594937,0.2,0.02531645569620253,87331.0
1.0,104.0,2017.0,10.0,399.0,0.7218045112781954,0.21052631578947367,0.02756892230576441,79875.0
1.0,104.0,2017.0,11.0,409.0,0.726161369193154,0.21515892420537897,0.02689486552567237,83494.0
1.0,104.0,2017.0,12.0,412.0,0.7160194174757282,0.22572815533980584,0.02669902912621359,66520.0
1.0,105.0,2017.0,1.0,534.0,0.7528089887640449,0.16666666666666666,0.026217228464419477,107731.0
1.0,105.0,2017.0,2.0,544.0,0.7486238532110092,0.1669724770642202,0.025688073394495414,101692.0
1.0,105.0,2017.0,3.0,534.0,0.7359550561797753,0.18164794007490637,0.024344569288389514,108912.0
1.0,105.0,2017.0,4.0,549.0,0.7395264116575592,0.1766848816029144,0.023679417122040074,105828.0
1.0,105.0,2017.0,5.0,557.0,0.7324955116696589,0.17594254937163376,0.02333931777378815,98382.0
1.0,105.0,2017.0,6.0,552.0,0.7310469314079422,0.18050541516245489,0.023465703971119134,118592.0
1.0,105.0,2017.0,7.0,562.0,0.7246891651865008,0.18294849023090587,0.02486678507992895,128579.0
1.0,105.0,2017.0,8.0,567.0,0.7117750439367311,0.18629173989455183,0.03163444639718805,135440.0
1.0,105.0,2017.0,9.0,574.0,0.7118055555555556,0.1875,0.03298611111111111,134420.0
1.0,105.0,2017.0,10.0,578.0,0.7024221453287197,0.1972318339100346,0.0328719723183391,115482.0
1.0,105.0,2017.0,11.0,587.0,0.7103918228279387,0.19420783645655879,0.030664395229982964,121855.0
1.0,105.0,2017.0,12.0,593.0,0.7048903878583473,0.20067453625632378,0.03035413153456998,103535.0
