secc,segm,anio,mes,cantidadPredios,tarifa-%TRS,tarifa-%TCB,tarifa-%TRD,energia_facturada
3.0,104.0,2019.0,9.0,367.0,0.7247956403269755,0.21798365122615804,0.04087193460490463,85535.58
3.0,104.0,2019.0,10.0,372.0,0.7265415549597856,0.21447721179624665,0.04289544235924933,68028.3
3.0,104.0,2019.0,11.0,383.0,0.720626631853786,0.2193211488250653,0.044386422976501305,69860.282
3.0,104.0,2019.0,12.0,390.0,0.7256410256410256,0.2128205128205128,0.04358974358974359,63860.041
3.0,202.0,2019.0,1.0,425.0,0.6713615023474179,0.27699530516431925,0.03990610328638498,75168.98000000001
3.0,202.0,2019.0,2.0,418.0,0.6602870813397129,0.284688995215311,0.0430622009569378,68460.362
3.0,202.0,2019.0,3.0,430.0,0.6651162790697674,0.27906976744186046,0.04186046511627907,78640.298
3.0,202.0,2019.0,4.0,423.0,0.6674528301886793,0.2783018867924528,0.04245283018867924,63420.24
3.0,202.0,2019.0,5.0,429.0,0.662004662004662,0.2867132867132867,0.04195804195804196,76564.4
3.0,202.0,2019.0,6.0,430.0,0.6558139534883721,0.2930232558139535,0.04186046511627907,83781.70000000001
3.0,202.0,2019.0,7.0,429.0,0.655011655011655,0.2937062937062937,0.039627039627039624,87729.003
3.0,202.0,2019.0,8.0,428.0,0.6495327102803738,0.29906542056074764,0.0397196261682243,99419.36
3.0,202.0,2019.0,9.0,432.0,0.6504629629629629,0.2962962962962963,0.041666666666666664,94657.631
3.0,202.0,2019.0,10.0,431.0,0.6496519721577726,0.29698375870069604,0.04408352668213457,81161.413
3.0,202.0,2019.0,11.0,435.0,0.6528735632183909,0.296551724137931,0.04367816091954023,84092.908
3.0,202.0,2019.0,12.0,425.0,0.6455399061032864,0.29577464788732394,0.046948356807511735,70130.35800000001
4.0,103.0,2019.0,1.0,1133.0,0.6963812886142984,0.2436010591350397,0.03442188879082083,208494.29499999998
4.0,103.0,2019.0,2.0,1126.0,0.6927175843694494,0.24422735346358793,0.03463587921847247,221431.66999999998
4.0,103.0,2019.0,3.0,1149.0,0.6878260869565217,0.24869565217391304,0.035652173913043476,203220.998
4.0,103.0,2019.0,4.0,1146.0,0.6814621409921671,0.25326370757180156,0.03655352480417755,186035.544
